20190102 # magic number
# Give level energies in cm^-1 for each ion.
# Each line gives n, l, S, J, energy.
# The last entry for each ion is the ionization potential.
# It is marked with negative quantum numbers. The ionization
# potential MUST be the last entry for a given element!
#
# NIST data for n<=10 were downloaded using ADM.
#
# The remaining data were calculated using the ATLL r123
#
 1  0  2 0.5 0.000
 2  1  2 0.5 2057998.1140
 2  0  2 0.5 2058011.604
 2  1  2 1.5 2058227.0843
 3  1  2 0.5 2439195.6697
 3  0  2 0.5 2439199.6964
 3  2  2 1.5 2439263.401880
 3  1  2 1.5 2439263.51450
 3  2  2 2.5 2439286.003220
 4  1  2 0.5 2572605.50620
 4  0  2 0.5 2572607.2098
 4  2  2 1.5 2572634.0793
 4  1  2 1.5 2572634.12740
 4  3  2 2.5 2572643.59730
 4  2  2 2.5 2572643.6145
 4  3  2 3.5 2572648.36420
 5  1  2 0.5 2634351.22780
 5  0  2 0.5 2634352.10130
 5  2  2 1.5 2634365.85660
 5  1  2 1.5 2634365.88141
 5  3  2 2.5 2634370.72980
 5  2  2 2.5 2634370.73860
 5  4  2 3.5 2634373.16583
 5  3  2 3.5 2634373.17040
 5  4  2 4.5 2634374.63015
 6  1  2 0.5 2667890.45498
 6  0  2 0.5 2667890.96080
 6  2  2 1.5 2667898.92040
 6  1  2 1.5 2667898.93487
 6  3  2 2.5 2667901.74050
 6  2  2 2.5 2667901.74560
 6  4  2 3.5 2667903.15021
 6  3  2 3.5 2667903.15290
 6  5  2 4.5 2667903.995963
 6  4  2 4.5 2667903.99762
 6  5  2 5.5 2667904.560888
 7  1  2 0.5 2688112.78379
 7  0  2 0.5 2688113.10250
 7  2  2 1.5 2688118.11460
 7  1  2 1.5 2688118.12378
 7  3  2 2.5 2688119.89049
 7  2  2 2.5 2688119.89370
 7  4  2 3.5 2688120.77826
 7  3  2 3.5 2688120.77995
 7  5  2 4.5 2688121.310860
 7  4  2 4.5 2688121.31191
 7  6  2 5.5 2688121.665901
 7  5  2 5.5 2688121.666620
 7  6  2 6.5 2688121.920009
 8  1  2 0.5 2701237.46290
 8  0  2 0.5 2701237.67648
 8  2  2 1.5 2701241.03403
 8  1  2 1.5 2701241.04021
 8  3  2 2.5 2701242.22373
 8  2  2 2.5 2701242.22592
 8  4  2 3.5 2701242.818470
 8  3  2 3.5 2701242.81961
 8  5  2 4.5 2701243.175270
 8  4  2 4.5 2701243.175970
 8  6  2 5.5 2701243.413117
 8  5  2 5.5 2701243.413600
 8  7  2 6.5 2701243.5830020
 8  6  2 6.5 2701243.583350
 8  7  2 7.5 2701243.7106750
 9  1  2 0.5 2710235.48553
 9  0  2 0.5 2710235.63558
 9  2  2 1.5 2710237.99360
 9  1  2 1.5 2710237.99796
 9  3  2 2.5 2710238.82916
 9  2  2 2.5 2710238.83070
 9  4  2 3.5 2710239.246860
 9  3  2 3.5 2710239.24766
 9  5  2 4.5 2710239.497454
 9  4  2 4.5 2710239.497950
 9  6  2 5.5 2710239.664505
 9  5  2 5.5 2710239.664841
 9  7  2 6.5 2710239.7838200
 9  6  2 6.5 2710239.784065
 9  8  2 7.5 2710239.8733033
 9  7  2 7.5 2710239.8734890
 9  8  2 8.5 2710239.9430455
10  1  2 0.5 2716671.59305
10  0  2 0.5 2716671.70245
10  2  2 1.5 2716673.42140
10  1  2 1.5 2716673.42458
10  3  2 2.5 2716674.03052
10  2  2 2.5 2716674.03164
10  4  2 3.5 2716674.335020
10  3  2 3.5 2716674.33560
10  5  2 4.5 2716674.517705
10  4  2 4.5 2716674.518060
10  6  2 5.5 2716674.639484
10  5  2 5.5 2716674.639730
10  7  2 6.5 2716674.7264650
10  6  2 6.5 2716674.726644
10  8  2 7.5 2716674.7916982
10  7  2 7.5 2716674.7918340
10  9  2 8.5 2716674.8424338
10  8  2 8.5 2716674.8425404
10  9  2 9.5 2716674.8831074
-1 -1 -1 -1.0 2744107.936     0.02
#
# 
# Bibliography:
# -------------
# PUB     Refcode: L12548 on NIST
# PUBCON      URL: https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&db_id=12548&comment_code=&amp;element=B&amp;spectr_charge=5&amp;ref=12548&amp;type=E
# PUBCON    Title: Additions to the Spectrum and Energy Levels and a Critical Compilation of Helium-like and Hydrogen-like Boron, B IV and B V
# PUBCON  Authors: A. E. Kramida, A. N. Ryabtsev, J. O. Ekberg, I. Kink, S. Mannervik, and I. Martinson
# PUBCON  Journal: Phys. Scr. 78, 025302 (2008)
# PUBCON      DOI: https://doi.org/10.1088/0031-8949/78/02/025302
