20190102 # magic number
# Give level energies in cm^-1 for each ion.
# Each line gives n, l, S, J, energy.
# The last entry for each ion is the ionization potential.
# It is marked with negative quantum numbers. The ionization
# potential MUST be the last entry for a given element!
#
# NIST data for n<=11 were downloaded using ADM.
#
# The remaining data were calculated using the ATLL r123
#
 1  0  2 0.5       0.000      0.008     
 2  1  2 0.5 1316979.2567     0.0003    
 2  0  2 0.5 1316985.251      0.001     
 2  1  2 1.5 1317073.0147     0.0002    
 3  1  2 0.5 1560900.5401     0.0001    
 3  0  2 0.5 1560902.3283     0.0003    
 3  2  2 1.5 1560928.274695   0.000004  
 3  1  2 1.5 1560928.32066    0.00006   
 3  2  2 2.5 1560937.531334   0.000003  
 4  1  2 0.5 1646269.17810    0.00005   
 4  0  2 0.5 1646269.9345     0.0001    
 4  2  2 1.5 1646280.8782     0.0001    
 4  1  2 1.5 1646280.89782    0.00003   
 4  3  2 2.5 1646284.77636    0.00006   
 4  2  2 2.5 1646284.7834     0.0001    
 4  3  2 3.5 1646286.72878    0.00006   
 5  1  2 0.5 1685781.03469    0.00003   
 5  0  2 0.5 1685781.42251    0.00007   
 5  2  2 1.5 1685787.0249     0.0001    
 5  1  2 1.5 1685787.03507    0.00001   
 5  3  2 2.5 1685789.02079    0.00006   
 5  2  2 2.5 1685789.0244     0.0001    
 5  4  2 3.5 1685790.01854    0.00001   
 5  3  2 3.5 1685790.02044    0.00006   
 5  4  2 4.5 1685790.61831    0.00001   
 6  1  2 0.5 1707243.58629    0.00003   
 6  0  2 0.5 1707243.81088    0.00004   
 6  2  2 1.5 1707247.05276    0.00006   
 6  1  2 1.5 1707247.05868    0.00003   
 6  3  2 2.5 1707248.20775    0.00005   
 6  2  2 2.5 1707248.20986    0.00006   
 6  4  2 3.5 1707248.78515    0.00001   
 6  3  2 3.5 1707248.78625    0.00005   
 6  5  2 4.5 1707249.131557   0.000003  
 6  4  2 4.5 1707249.13224    0.00001   
 6  5  2 5.5 1707249.362944   0.000003  
 7  1  2 0.5 1720184.51375    0.00003   
 7  0  2 0.5 1720184.65525    0.00003   
 7  2  2 1.5 1720186.69666    0.00004   
 7  1  2 1.5 1720186.70041    0.00003   
