H  1                3671.48A  
H  1                3673.76A  
H  1                3676.36A  
H  1                3679.35A  
H  1                3682.81A  
H  1                3686.83A  
H  1                3691.55A  
H  1                3697.15A  
H  1                3703.85A  
H  1                3711.97A  
H  1                3721.94A  
H  1                3734.37A  
H  1                3750.15A  
H  1                3770.63A  
H  1                3797.90A  
H  1                3835.38A  
H  1                3889.05A  
H  1                3970.07A  
H  1                4101.73A  
H  1                4340.46A  
H  1                4861.32A  
H  1                6562.80A  
H  1                8333.79A  
H  1                8345.56A  
H  1                8359.01A  
H  1                8374.48A  
H  1                8392.40A  
H  1                8413.32A  
H  1                8437.96A  
H  1                8467.26A  
H  1                8502.49A  
H  1                8545.39A  
H  1                8598.40A  
H  1                8665.02A  
H  1                8750.48A  
H  1                8862.79A  
H  1                9014.91A  
H  1                9229.02A  
H  1                9545.97A  
H  1                1.00494m  
H  1                1.09381m  
H  1                1.28181m  
H  1                1.50009m  
H  1                1.50390m  
H  1                1.50828m  
H  1                1.51332m  
H  1                1.51919m  
H  1                1.52605m  
H  1                1.53418m  
H  1                1.54389m  
H  1                1.55565m  
H  1                1.57007m  
H  1                1.58805m  
H  1                1.61093m  
H  1                1.64072m  
H  1                1.68065m  
H  1                1.73621m  
H  1                1.81741m  
H  1                1.87510m  
H  1                1.94456m  
H  1                2.16553m  
H  1                2.43070m  
H  1                2.44833m  
H  1                2.46931m  
H  1                2.49458m  
H  1                2.52540m  
H  1                2.56363m  
H  1                2.61194m  
H  1                2.62515m  
H  1                2.67440m  
H  1                2.75752m  
H  1                2.87221m  
H  1                3.03837m  
H  1                3.29609m  
H  1                3.73954m  
H  1                3.74837m  
H  1                3.81841m  
H  1                3.90648m  
H  1                4.01977m  
H  1                4.05115m  
H  1                4.16966m  
H  1                4.37526m  
H  1                4.65251m  
H  1                4.67124m  
H  1                5.12726m  
H  1                5.70991m  
H  1                5.90660m  
H  1                5.95522m  
H  1                6.29020m  
H  1                6.77015m  
H  1                7.45782m  
H  1                7.50045m  
H  1                7.50606m  
H  1                8.75768m  
H  1                9.38946m  
H  1                10.5006m  
H  1                11.3056m  
H  1                12.3685m  
H  1                12.3838m  
H  1                16.2047m  
H  1                16.8760m  
H  1                19.0567m  
H  1                22.3344m  
H  1                27.7958m  
H  1                38.8593m  
